Week1,Week2,Week3,Week4,HB,HDA,HDS,HTA,HBM,HBP,HMG,HGP,Inflasi,Target
21,22,16,30,13.15,34.8,129.4,22.65,33.25,34.2,12.15,13.25,0.29,30
22,16,30,30,13.15,41.2,129.4,22.7,32,33.75,12.1,13.25,0.29,15
16,30,30,15,13.15,40.4,129.4,23.1,31.05,33.75,12.1,13.25,0.29,22
30,30,15,22,13.15,36.1,129.4,23.8,29.5,31.75,12.1,13.25,0.29,20
30,15,22,20,13.15,33.45,129.4,24.25,27.75,31.75,12.05,13.1,-0.09,27
15,22,20,27,13.15,34.75,129.4,24.25,26.7,31.75,12.05,12.95,-0.09,25
22,20,27,25,13.15,34.65,129.4,24.05,26.1,31.25,12.15,12.85,-0.09,18
20,27,25,18,13.15,33.75,129.4,24.25,23,29.25,12.15,12.9,-0.09,22
27,25,18,22,13.15,32.65,129.4,24.25,23.75,31,12.15,12.85,0.09,22
25,18,22,22,13.15,34.4,129.4,24.25,22.4,31.25,12.05,12.8,0.09,24
18,22,22,24,13.15,36.25,129.4,23.95,21.25,29.25,12.05,12.8,0.09,16
22,22,24,16,13.15,33.9,129.4,23.1,20.15,29.2,12,12.8,0.09,34
22,24,16,34,13.15,34.9,129.4,22.05,20.75,29,11.9,12.8,0.09,18
24,16,34,18,13.15,36.6,129.4,21.9,20.25,28.5,11.9,12.8,0.06,16
16,34,18,16,13.15,38.05,129.4,21.5,21.05,28.5,11.9,12.85,0.06,33
34,18,16,33,13.15,39.75,129.4,21.5,26.85,29.15,11.9,12.95,0.06,18
18,16,33,18,13.15,43.75,129.4,21.25,24.25,28.25,11.95,12.95,0.06,16
16,33,18,16,13.15,43.4,129.4,21.25,24.25,28.25,12.05,12.95,0.12,20
33,18,16,20,13.15,44.55,129.4,21.25,24.75,28.25,12.1,12.95,0.12,13
18,16,20,13,13.15,45.8,129.4,21.5,27.35,28.25,12.2,12.95,0.12,12
16,20,13,12,13.15,44.75,129.4,23.25,28.65,28.55,12.25,12.95,0.12,19
20,13,12,19,13.15,46.25,129.4,24.3,28.75,28.75,12.25,12.95,0.17,26
13,12,19,26,13.15,42.5,129.4,24.7,28.75,28.75,12.25,12.95,0.17,9
12,19,26,9,13.15,39,129.4,25.3,29.75,28.75,12.25,12.95,0.17,12
19,26,9,12,13.15,36,129.4,26.3,33.75,28.75,12.5,13.05,0.17,7
26,9,12,7,13.15,36.3,129.4,27.05,32.5,28.75,12.5,13.1,0.17,4
9,12,7,4,13.15,35.3,129.4,26.25,32.5,28.75,12.5,13.35,0.57,12
12,7,4,12,13.15,36.2,129.4,24.9,33.4,29.85,12.8,13.35,0.57,18
7,4,12,18,13.25,38.1,129.4,24.35,33.6,32.5,13.1,13.7,0.57,26
4,12,18,26,12.9,38.25,129.4,24.25,33.45,32.5,13.2,13.9,0.57,23
